game_id,home_team,away_team,home_score,away_score,true_percentage
2018_12_CLE_CIN,CIN,CLE,20,35,57
2018_12_GB_MIN,MIN,GB,24,17,71
2018_12_JAX_BUF,BUF,JAX,24,21,88
2018_12_MIA_IND,IND,MIA,27,24,89
2018_12_NE_NYJ,NYJ,NE,13,27,48
2018_12_NYG_PHI,PHI,NYG,25,22,88
2018_12_OAK_BAL,BAL,OAK,34,17,50
2018_12_PIT_DEN,DEN,PIT,24,17,71
2018_12_SEA_CAR,CAR,SEA,27,30,90
2018_12_SF_TB,TB,SF,27,9,33
2018_12_TEN_HOU,HOU,TEN,34,17,50
2018_12_WAS_DAL,DAL,WAS,31,23,74
2018_13_ARI_GB,GB,ARI,17,20,85
2018_13_BAL_ATL,ATL,BAL,16,26,62
2018_13_BUF_MIA,MIA,BUF,21,17,81
2018_13_CAR_TB,TB,CAR,24,17,71
2018_13_CHI_NYG,NYG,CHI,30,27,90
2018_13_CLE_HOU,HOU,CLE,29,13,45
2018_13_DEN_CIN,CIN,DEN,10,24,42
2018_13_IND_JAX,JAX,IND,6,0,0
2018_13_KC_OAK,OAK,KC,33,40,83
2018_13_LA_DET,DET,LA,16,30,53
2018_13_LAC_PIT,PIT,LAC,30,33,91
2018_13_MIN_NE,NE,MIN,24,10,42
2018_13_NO_DAL,DAL,NO,13,10,77
2018_13_NYJ_TEN,TEN,NYJ,26,22,85
2018_13_SF_SEA,SEA,SF,43,16,37
2018_13_WAS_PHI,PHI,WAS,28,13,46
2018_14_ATL_GB,GB,ATL,34,20,59
2018_14_BAL_KC,KC,BAL,27,24,89
2018_14_CAR_CLE,CLE,CAR,26,20,77
2018_14_CIN_LAC,LAC,CIN,26,21,81
2018_14_DEN_SF,SF,DEN,20,14,70
2018_14_DET_ARI,ARI,DET,3,17,18
2018_14_IND_HOU,HOU,IND,21,24,88
2018_14_JAX_TEN,TEN,JAX,30,9,30
2018_14_LA_CHI,CHI,LA,15,6,40
2018_14_MIN_SEA,SEA,MIN,21,7,33
2018_14_NE_MIA,MIA,NE,34,33,97
2018_14_NO_TB,TB,NO,14,28,50
2018_14_NYG_WAS,WAS,NYG,16,40,40
2018_14_NYJ_BUF,BUF,NYJ,23,27,85
2018_14_PHI_DAL,DAL,PHI,29,23,79
2018_14_PIT_OAK,OAK,PIT,24,21,88
2018_15_ARI_ATL,ATL,ARI,40,14,35
2018_15_CLE_DEN,DEN,CLE,16,17,94
2018_15_DAL_IND,IND,DAL,23,0,0
2018_15_DET_BUF,BUF,DET,14,13,93
2018_15_GB_CHI,CHI,GB,24,17,71
2018_15_HOU_NYJ,NYJ,HOU,22,29,76
2018_15_LAC_KC,KC,LAC,28,29,97
2018_15_MIA_MIN,MIN,MIA,41,17,41
2018_15_NE_PIT,PIT,NE,17,10,59
2018_15_NO_CAR,CAR,NO,9,12,75
2018_15_OAK_CIN,CIN,OAK,30,16,53
2018_15_PHI_LA,LA,PHI,23,30,77
2018_15_SEA_SF,SF,SEA,26,23,88
2018_15_TB_BAL,BAL,TB,20,12,60
2018_15_TEN_NYG,NYG,TEN,0,17,0
2018_15_WAS_JAX,JAX,WAS,13,16,81
2018_16_ATL_CAR,CAR,ATL,10,24,42
2018_16_BAL_LAC,LAC,BAL,10,22,45
2018_16_BUF_NE,NE,BUF,24,12,50
2018_16_CHI_SF,SF,CHI,9,14,64
2018_16_CIN_CLE,CLE,CIN,26,18,69
2018_16_DEN_OAK,OAK,DEN,27,14,52
2018_16_GB_NYJ,NYJ,GB,38,44,86
2018_16_HOU_PHI,PHI,HOU,32,30,94
2018_16_JAX_MIA,MIA,JAX,7,17,41
2018_16_KC_SEA,SEA,KC,38,31,82
2018_16_LA_ARI,ARI,LA,9,31,29
2018_16_MIN_DET,DET,MIN,9,27,33
2018_16_NYG_IND,IND,NYG,28,27,96
2018_16_PIT_NO,NO,PIT,31,28,90
2018_16_TB_DAL,DAL,TB,27,20,74
2018_16_WAS_TEN,TEN,WAS,25,16,64
2018_17_ARI_SEA,SEA,ARI,27,24,89
2018_17_ATL_TB,TB,ATL,32,34,94
2018_17_CAR_NO,NO,CAR,14,33,42
2018_17_CHI_MIN,MIN,CHI,10,24,42
2018_17_CIN_PIT,PIT,CIN,16,13,81
2018_17_CLE_BAL,BAL,CLE,26,24,92
2018_17_DAL_NYG,NYG,DAL,35,36,97
2018_17_DET_GB,GB,DET,0,31,0
2018_17_IND_TEN,TEN,IND,17,33,52
2018_17_JAX_HOU,HOU,JAX,20,3,15
2018_17_LAC_DEN,DEN,LAC,9,23,39
2018_17_MIA_BUF,BUF,MIA,42,17,40
2018_17_NYJ_NE,NE,NYJ,38,3,8
2018_17_OAK_KC,KC,OAK,35,3,9
2018_17_PHI_WAS,WAS,PHI,0,24,0
2018_17_SF_LA,LA,SF,48,32,67
2018_18_IND_HOU,HOU,IND,7,21,33
2018_18_LAC_BAL,BAL,LAC,17,23,74
2018_18_PHI_CHI,CHI,PHI,15,16,94
2018_18_SEA_DAL,DAL,SEA,24,22,92
2018_19_DAL_LA,LA,DAL,30,22,73
2018_19_IND_KC,KC,IND,31,13,42
2018_19_LAC_NE,NE,LAC,41,28,68
2018_19_PHI_NO,NO,PHI,20,14,70
2018_20_LA_NO,NO,LA,23,26,88
2018_20_NE_KC,KC,NE,31,37,84
2018_21_NE_LA,LA,NE,3,13,23
2019_01_ATL_MIN,MIN,ATL,28,12,43
2019_01_BAL_MIA,MIA,BAL,10,59,17
2019_01_BUF_NYJ,NYJ,BUF,16,17,94
2019_01_CIN_SEA,SEA,CIN,21,20,95
2019_01_DEN_OAK,OAK,DEN,24,16,67
2019_01_DET_ARI,ARI,DET,27,27,100
2019_01_GB_CHI,CHI,GB,3,10,30
2019_01_HOU_NO,NO,HOU,30,28,93
2019_01_IND_LAC,LAC,IND,30,24,80
2019_01_KC_JAX,JAX,KC,26,40,65
2019_01_LA_CAR,CAR,LA,27,30,90
2019_01_NYG_DAL,DAL,NYG,35,17,49
2019_01_PIT_NE,NE,PIT,33,3,9
2019_01_SF_TB,TB,SF,17,31,55
2019_01_TEN_CLE,CLE,TEN,13,43,30
2019_01_WAS_PHI,PHI,WAS,32,27,84
2019_02_ARI_BAL,BAL,ARI,23,17,74
2019_02_BUF_NYG,NYG,BUF,14,28,50
2019_02_CHI_DEN,DEN,CHI,14,16,88
2019_02_CLE_NYJ,NYJ,CLE,3,23,13
2019_02_DAL_WAS,WAS,DAL,21,31,68
2019_02_IND_TEN,TEN,IND,17,19,89
2019_02_JAX_HOU,HOU,JAX,13,12,92
2019_02_KC_OAK,OAK,KC,10,28,36
2019_02_LAC_DET,DET,LAC,13,10,77
2019_02_MIN_GB,GB,MIN,21,16,76
2019_02_NE_MIA,MIA,NE,0,43,0
2019_02_NO_LA,LA,NO,27,9,33
2019_02_PHI_ATL,ATL,PHI,24,20,83
2019_02_SEA_PIT,PIT,SEA,26,28,93
2019_02_SF_CIN,CIN,SF,17,41,41
2019_02_TB_CAR,CAR,TB,14,20,70
2019_03_ATL_IND,IND,ATL,27,24,89
2019_03_BAL_KC,KC,BAL,33,28,85
2019_03_CAR_ARI,ARI,CAR,20,38,53
2019_03_CHI_WAS,WAS,CHI,15,31,48
2019_03_CIN_BUF,BUF,CIN,21,17,81
2019_03_DEN_GB,GB,DEN,27,16,59
2019_03_DET_PHI,PHI,DET,24,27,89
2019_03_HOU_LAC,LAC,HOU,20,27,74
2019_03_LA_CLE,CLE,LA,13,20,65
2019_03_MIA_DAL,DAL,MIA,31,6,19
2019_03_NO_SEA,SEA,NO,27,33,82
2019_03_NYG_TB,TB,NYG,31,32,97
2019_03_NYJ_NE,NE,NYJ,30,14,47
2019_03_OAK_MIN,MIN,OAK,34,14,41
2019_03_PIT_SF,SF,PIT,24,20,83
2019_03_TEN_JAX,JAX,TEN,20,7,35
2019_04_CAR_HOU,HOU,CAR,10,16,63
2019_04_CIN_PIT,PIT,CIN,27,3,11
2019_04_CLE_BAL,BAL,CLE,25,40,63
2019_04_DAL_NO,NO,DAL,12,10,83
2019_04_JAX_DEN,DEN,JAX,24,26,92
2019_04_KC_DET,DET,KC,30,34,88
2019_04_LAC_MIA,MIA,LAC,10,30,33
2019_04_MIN_CHI,CHI,MIN,16,6,38
2019_04_NE_BUF,BUF,NE,10,16,63
2019_04_OAK_IND,IND,OAK,24,31,77
2019_04_PHI_GB,GB,PHI,27,34,79
2019_04_SEA_ARI,ARI,SEA,10,27,37
2019_04_TB_LA,LA,TB,40,55,73
